Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
0:0:30,134291.70,2891.85,215010.13,29.60,32.40,104,409
0:1:31,114399.97,2834.90,207569.72,29.70,32.30,107,348
0:2:31,107344.80,2779.20,207569.72,29.80,32.30,109,631
0:3:32,138128.61,2895.00,211717.16,29.90,32.30,104,469
0:4:32,126065.84,2857.53,207569.72,29.80,32.30,105,397
0:5:33,118662.46,2846.19,210843.36,29.80,32.30,105,776
0:6:33,120443.00,2823.66,213333.31,29.80,32.30,102,500
0:7:34,107583.79,2860.50,208416.83,29.80,32.30,105,537
0:8:34,108848.82,2790.24,201964.64,29.80,32.30,102,500
0:9:35,128604.07,2911.62,213793.08,29.90,32.30,99,495
0:10:35,133213.84,2891.85,212500.00,29.80,32.30,101,408
0:11:36,113578.28,2812.47,206759.44,29.70,32.30,104,531
0:12:36,103731.83,2768.21,203550.28,29.80,32.30,101,612
0:13:37,100983.59,2779.20,201176.48,29.80,32.30,126,789
0:14:37,95218.74,2724.73,199609.38,29.80,32.30,100,563
0:15:38,106965.49,2808.93,207185.63,29.90,32.30,100,648
0:16:38,104655.34,2781.78,202766.80,29.80,32.30,98,508
0:17:39,108848.82,2801.33,204347.81,29.90,32.30,102,667
0:18:39,105874.98,2779.20,201176.48,29.80,32.30,103,515
0:19:40,128013.37,2974.07,213008.11,29.80,32.40,103,641
0:20:40,123571.38,2815.21,203564.36,29.80,32.30,107,524
0:21:41,123199.95,2823.66,207569.72,29.90,32.30,100,565
0:22:41,137617.06,2846.19,204347.81,29.80,32.30,97,624
0:23:42,147218.08,2903.40,209200.00,29.90,32.30,100,464
0:24:42,122269.19,2768.21,213333.31,29.90,32.30,103,546
0:25:43,125098.09,2801.33,205952.38,29.90,32.30,97,523
0:26:43,117788.78,2823.66,208383.23,29.90,32.30,100,647
0:27:44,118993.67,2849.10,208416.83,29.90,32.30,98,671
0:28:44,134291.70,2985.71,213333.31,30.00,32.30,93,663
0:29:45,122632.21,2804.02,206786.42,30.00,32.20,98,726
0:30:45,116925.89,2757.27,204347.81,30.00,32.20,102,475
0:31:46,123199.95,2834.90,203550.28,30.00,32.20,108,564
0:32:46,123199.95,2538.11,186767.50,30.00,32.20,112,576
0:33:47,133213.84,2834.90,205952.38,29.90,32.20,96,755
0:34:47,135384.66,2868.92,207569.72,30.00,32.20,104,591
0:35:48,137617.06,2801.33,211670.00,30.00,32.10,98,554
0:36:48,144711.16,2915.00,213333.31,30.00,32.10,121,534
0:37:49,159500.03,2938.36,217551.02,30.00,32.10,114,646
0:38:49,135384.66,2846.19,208383.23,30.10,32.10,102,620
0:39:50,146721.84,2900.00,212955.45,30.20,32.10,105,461
0:40:50,129047.02,2812.47,204347.81,30.30,32.10,115,527
0:41:51,130067.62,2834.90,207569.72,30.30,32.10,114,578
0:42:51,122774.15,2820.13,205566.61,30.20,32.10,111,320
0:43:52,121210.15,2818.75,204752.47,30.20,32.10,106,309
0:44:52,125098.09,2812.47,208383.23,30.20,32.10,106,530
0:45:53,122269.19,2823.66,203550.28,30.20,32.10,113,280
0:46:53,144711.16,2903.40,209200.00,30.10,32.20,108,476
0:47:54,132150.73,2834.90,204347.81,30.10,32.10,105,595
0:48:54,103731.83,2402.45,174040.20,30.20,32.10,110,266
0:49:55,108092.46,2692.61,200391.39,30.00,32.10,125,527
0:50:55,123714.24,2854.05,209638.55,30.00,32.10,110,447
0:51:56,138757.19,2834.90,205148.52,30.10,32.10,108,448
0:52:56,127046.41,2834.90,204347.81,30.20,32.10,103,512
0:53:57,107344.80,2578.34,194219.66,30.20,32.10,114,507
0:54:57,123199.95,2857.53,209200.00,30.00,32.10,111,545
0:55:58,129047.02,2880.36,210843.36,30.20,32.10,90,478
0:56:58,130067.62,2880.36,212500.00,30.30,32.10,105,628
0:57:59,130067.62,2880.36,212500.00,30.30,32.10,106,597
0:58:59,116925.89,2608.97,195744.69,30.30,32.10,111,621
1:0:0,133213.84,2903.40,211670.00,30.10,32.00,107,452
1:1:0,120443.00,2790.24,208383.23,30.20,32.10,128,658
1:2:1,132150.73,2926.65,210843.36,30.20,32.00,116,766
1:3:1,139913.70,2915.00,215853.64,30.40,32.00,105,486
1:4:2,123999.95,2829.98,207171.31,30.10,31.90,106,628
1:5:2,116925.89,2812.47,204347.81,30.20,31.90,109,442
1:6:3,109614.02,2779.20,203550.28,30.30,31.90,108,548
1:7:3,111171.57,2801.33,202755.91,30.70,32.00,108,503
1:8:4,106605.70,2790.24,201964.64,30.60,32.00,104,539
1:9:4,88323.52,2650.43,197281.56,30.60,32.00,104,465
1:10:5,88215.68,2752.42,200784.33,30.50,32.00,103,680
1:11:5,87252.43,2713.97,198054.48,30.60,32.10,105,538
1:12:6,88323.52,2757.27,201964.64,30.50,32.10,100,564
1:13:6,76279.48,2568.22,199609.38,30.50,32.10,94,303
1:14:7,72962.02,2518.24,192706.33,30.30,32.10,109,363
1:15:7,72962.02,2682.00,202755.91,30.20,32.10,106,441
1:16:8,84559.24,2886.88,214604.44,30.40,32.10,105,607
1:17:8,94611.40,2823.66,208383.23,30.70,32.10,106,506
1:18:9,95832.45,2779.20,207569.72,30.70,32.10,107,550
1:19:9,118662.46,2823.66,215853.64,30.80,32.10,108,361
1:20:10,139913.70,3021.81,221855.70,30.80,32.00,107,547
1:21:10,139913.70,2880.36,214170.03,30.60,31.90,104,447
1:22:11,118716.95,2750.00,205179.28,30.70,31.90,105,517
1:23:11,133213.84,2868.92,218404.89,30.90,31.90,107,541
1:24:12,122269.19,2823.66,209200.00,30.90,31.80,104,522
1:25:12,111571.40,2786.67,206374.50,30.90,31.80,103,314
1:26:13,119547.13,2713.97,194219.66,31.10,31.80,101,511
1:27:13,119547.13,2857.53,214170.03,31.00,31.80,105,715
1:28:14,119547.13,2834.90,207569.72,31.10,31.80,144,637
1:29:14,133680.59,2906.61,214227.63,31.20,31.70,103,30556
1:30:15,126065.84,2823.66,207569.72,31.30,31.70,101,669
1:31:15,127893.38,2852.58,209619.23,31.20,31.60,104,380
1:32:16,115668.68,2797.77,204761.91,31.40,31.60,123,570
1:33:16,138757.19,2915.00,215853.64,31.50,31.60,114,442
1:34:17,138757.19,2868.92,209200.00,31.50,31.60,102,613
1:35:17,122269.19,2801.33,205952.38,31.60,31.50,102,491
1:36:18,130067.62,2834.90,203550.28,31.80,31.50,102,651
1:37:18,151123.11,2973.79,217551.02,31.70,31.50,99,532
1:38:19,157520.03,3030.77,223236.53,31.60,31.40,105,668
1:39:19,166386.58,2989.35,215071.27,31.80,31.40,98,597
1:40:20,151123.11,2950.11,215853.64,31.80,31.40,102,466
1:41:20,178946.44,3021.81,215010.13,31.80,31.30,141,869
1:42:21,168728.83,2985.71,218404.89,32.00,31.30,106,441
1:43:21,170359.00,2950.11,213333.31,32.00,31.20,101,619
1:44:22,175421.08,3009.72,215010.13,32.20,31.10,106,462
1:45:22,162475.44,2950.11,213333.31,32.20,31.10,100,432
1:46:23,160975.64,2938.36,214170.03,32.30,31.10,97,695
1:47:23,135384.66,2812.47,207569.72,32.30,31.10,101,488
1:48:24,160975.64,2973.79,215010.13,32.50,31.10,101,493
1:49:24,155212.64,2926.65,212500.00,32.40,31.10,107,592
1:50:25,132150.73,2768.21,205148.52,32.40,31.10,101,689
1:51:25,125631.53,2797.77,206374.50,32.30,31.10,97,471
1:52:26,116073.59,2724.73,206759.44,32.60,31.10,95,611
1:53:26,124142.81,2834.90,210020.03,32.30,31.10,98,669
1:54:27,122128.16,2875.39,210441.75,32.50,31.10,97,615
1:55:27,133833.38,2935.01,213793.08,32.40,31.20,94,506
1:56:28,145462.72,2923.29,214634.13,32.30,31.20,99,532
