FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
24022018     0  21.2   81  1018.8  140   19     AEROPARQUE AERO                                     
24022018     1  21.0   81  1019.1  140   17     AEROPARQUE AERO                                     
24022018     2  20.8   81  1019.1  140   15     AEROPARQUE AERO                                     
24022018     3  20.5   81  1019.1  140   13     AEROPARQUE AERO                                     
24022018     4  20.0   81  1019.3  160    9     AEROPARQUE AERO                                     
24022018     5  19.7   80  1019.3  160   11     AEROPARQUE AERO                                     
24022018     6  19.7   79  1019.3  140   11     AEROPARQUE AERO                                     
24022018     7  19.8   78  1020.1  140   11     AEROPARQUE AERO                                     
24022018     8  20.5   71  1020.8  140   15     AEROPARQUE AERO                                     
24022018     9  21.6   70  1020.7  140   22     AEROPARQUE AERO                                     
24022018    10  22.5   71  1020.8  140   24     AEROPARQUE AERO                                     
24022018    11  23.5   71  1021.1  110   24     AEROPARQUE AERO                                     
24022018    12  24.3   66  1020.7  110   24     AEROPARQUE AERO                                     
24022018    13  24.2   66  1020.1  110   22     AEROPARQUE AERO                                     
24022018    14  24.4   64  1019.9  110   20     AEROPARQUE AERO                                     
24022018    15  24.4   64  1019.1  110   22     AEROPARQUE AERO                                     
24022018    16  24.7   63  1018.6  110   22     AEROPARQUE AERO                                     
24022018    17  24.9   59  1018.1  110   20     AEROPARQUE AERO                                     
24022018    18  24.3   64  1018.2  110   26     AEROPARQUE AERO                                     
24022018    19  23.6   62  1018.6  110   28     AEROPARQUE AERO                                     
24022018    20  23.0   64  1018.8  110   26     AEROPARQUE AERO                                     
24022018    21  22.8   58  1019.3  140   24     AEROPARQUE AERO                                     
24022018    22  22.6   65  1019.6  140   19     AEROPARQUE AERO                                     
24022018    23  21.6   72  1019.7  110   19     AEROPARQUE AERO                                     
24022018     0  14.3   81  1021.2  140   13     AZUL AERO                                           
24022018     3  12.0   88  1021.2  140    6     AZUL AERO                                           
24022018     6  10.3   91  1021.5  140    7     AZUL AERO                                           
24022018     7  10.1   85  1022.1  160    2     AZUL AERO                                           
24022018     8  12.8   88  1022.5  140    7     AZUL AERO                                           
24022018     9  16.3   77  1022.6   90   15     AZUL AERO                                           
24022018    10  18.9   61  1022.7   70   17     AZUL AERO                                           
24022018    11  21.0   51  1022.4   90   17     AZUL AERO                                           
24022018    12  22.3   47  1021.8   90   15     AZUL AERO                                           
24022018    13  25.0   36  1021.2   90   15     AZUL AERO                                           
24022018    14  25.2   37  1021.0   50   11     AZUL AERO                                           
24022018    15  26.1   37  1020.0   20   11     AZUL AERO                                           
24022018    16  26.1   35  1019.4  270    9     AZUL AERO                                           
24022018    17  26.7   36  1019.1  360    4     AZUL AERO                                           
24022018    18  25.3   40  1019.0  140    6     AZUL AERO                                           
24022018    19  24.6   42  1019.2   50   13     AZUL AERO                                           
24022018    20  21.8   53  1019.5   70   11     AZUL AERO                                           
24022018    21  20.1   56  1019.8   70   11     AZUL AERO                                           
24022018    22  18.2   65  1020.3   70    9     AZUL AERO                                           
24022018    23  16.7   71  1020.6   70   11     AZUL AERO                                           
24022018     0  16.0   79  1022.9   90   13     BAHIA BLANCA AERO                                   
24022018     1  15.1   82  1022.7   90   13     BAHIA BLANCA AERO                                   
24022018     2  14.0   84  1022.9   70   11     BAHIA BLANCA AERO                                   
24022018     3  12.7   90  1022.7   70   13     BAHIA BLANCA AERO                                   
24022018     4  12.6   91  1022.4   70   13     BAHIA BLANCA AERO                                   
24022018     5  12.9   92  1021.8   70   13     BAHIA BLANCA AERO                                   
24022018     6  12.9   90  1021.7   70    9     BAHIA BLANCA AERO                                   
24022018     7  12.6   91  1022.1   90    9     BAHIA BLANCA AERO                                   
24022018     8  14.0   88  1022.2   70   11     BAHIA BLANCA AERO                                   
24022018     9  18.4   73  1022.1   70   19     BAHIA BLANCA AERO                                   
24022018    10  22.6   54  1021.9   70   15     BAHIA BLANCA AERO                                   
24022018    11  24.8   46  1021.7  110   13     BAHIA BLANCA AERO                                   
24022018    12  26.8   37  1021.4   90    9     BAHIA BLANCA AERO                                   
24022018    13  27.8   34  1020.7   90   11     BAHIA BLANCA AERO                                   
24022018    14  29.2   30  1020.3  140    9     BAHIA BLANCA AERO                                   
24022018    15  29.6   32  1019.7   50    9     BAHIA BLANCA AERO                                   
24022018    16  30.0   32  1019.0  140   19     BAHIA BLANCA AERO                                   
24022018    17  29.2   35  1018.7  140   19     BAHIA BLANCA AERO                                   
24022018    18  28.0   40  1018.4  140   22     BAHIA BLANCA AERO                                   
24022018    19  25.6   51  1018.4  140   20     BAHIA BLANCA AERO                                   
24022018    20  24.2   57  1018.4  140   17     BAHIA BLANCA AERO                                   
24022018    21  22.8   60  1018.6   90   22     BAHIA BLANCA AERO                                   
24022018    22  22.2   54  1019.0   70   24     BAHIA BLANCA AERO                                   
24022018    23  22.4   53  1019.7   50   19     BAHIA BLANCA AERO                                   
24022018     0  13.0   81  1542.0  140    6     BARILOCHE AERO                                      
24022018     1  12.7   82  1537.0  140    7     BARILOCHE AERO                                      
24022018     2  12.4   84  1534.0  180    9     BARILOCHE AERO                                      
24022018     3  12.4   83  1534.0  160    9     BARILOCHE AERO                                      
24022018     4  13.0   80  1531.0  110    7     BARILOCHE AERO                                      
24022018     5  13.1   77  1527.0   50    7     BARILOCHE AERO                                      
24022018     6  12.6   82  1527.0  990    4     BARILOCHE AERO                                      
24022018     7  12.5   82  1527.0  160    7     BARILOCHE AERO                                      
