Hora;Minuto;O3;NO2;CO;Humedad;Temperatura;P25;P10
0;0;68091,62;4285,88;335602,13;20,8;25,3;5081;10336
0;1;62042,27;4069,08;310224,41;20,7;25,3;4815;10027
0;2;60551,74;4034,35;312781,94;20,8;25,2;5054;10119
0;3;60551,74;4121,91;317974,66;21,1;25,2;5092;10193
0;4;60068,51;4157,63;317974,66;20,9;25,2;4910;10169
0;5;57302,65;4034,35;296601,94;21;25,2;5168;10117
0;6;60068,51;4175,64;320610,66;21,1;25,2;5080;10240
0;7;53540,36;4069,08;305185,19;20,9;25,2;5076;10183
0;8;53148,13;4139,72;303940,91;20,9;25,1;5073;10321
0;9;49476,73;3966,03;299024,38;20,8;25,1;5043;10091
0;10;51257,47;3966,03;296601,94;21;25,1;4939;10429
0;11;47796,6;3899,19;289473,72;21;25,1;4952;10185
0;12;48457,13;4104,2;308955,22;21,2;25,1;5120;10454
0;13;48399,99;3943,17;299755,5;21,2;25,1;4853;10081
0;14;48620,68;4016,07;300000;21;25,1;5086;10050
0;15;50892,85;4139,72;332812,47;21,2;25,1;5047;10307
0;16;49476,73;3982,97;302702,69;21,2;25,1;4978;10250
0;17;48457,13;4051,67;315365,22;21;25;5091;10300
0;18;52760,72;4086,59;308955,22;21,1;25,1;5192;10263
0;19;54746,82;4211,97;341269,88;20,7;25;5021;10375
0;20;52378,03;4051,67;308955,22;21,1;25;5032;10391
0;21;51626,49;4017,13;323273,63;21,4;25;5055;10132
0;22;50892,85;3966,03;307692,31;21,7;25;4916;10292
0;23;53937,48;4230,29;335602,13;21,2;25;5177;10191
0;24;49132,94;3949,18;303940,91;21,1;25;4918;10286
0;25;56862,77;4230,29;345600,03;21,5;25;4922;10329
0;26;53937,48;4121,91;323273,63;21;25;5015;10219
0;27;54746,82;4175,64;337007,91;21,1;25;4990;10298
0;28;55576,9;4139,72;324615,34;21,2;25;4959;10046
0;29;64130,45;4267,24;342705,59;21,1;25;5089;10358
0;30;56363,61;4080,45;314861,44;20,9;24,9;5017;10330
0;31;58200,02;4230,29;338421,09;20,9;24,9;5013;10276
0;32;54339,61;4211,97;335602,13;20,9;25;4931;10235
0;33;61538,48;4361,52;345600,03;20,9;25;5107;10311
0;34;64057,99;4355,1;342175,09;20,7;24,9;4911;10093
0;35;66917,31;4267,24;344148,94;20,7;24,8;4980;10195
0;36;90196,08;4634,04;380681,81;21;24,9;4888;10033
0;37;80530,98;4323,48;341269,88;20,5;24,8;4954;10225
0;38;83000,01;4400;345600,03;20,8;24,8;5031;10158
0;39;84722,23;4285,88;344148,94;20,9;24,8;5061;10242
0;40;78956,53;4304,62;335602,13;20,9;24,8;5003;10193
0;41;83000,01;4285,88;341269,88;21;24,8;4872;10219
0;42;78869,58;4151,41;328165,34;21,1;24,8;4885;-25248
0;43;83000,01;4419,41;357493,19;21,4;24,8;5148;10272
0;44;78956,53;4304,62;345600,03;21,5;24,8;4849;-25471
0;45;92300;4419,41;350000,03;21,8;24,8;5208;10451
0;46;96249,99;4361,4;349865,25;21,4;24,7;4928;-25370
0;47;97684,2;4361,52;348525,5;21,7;24,7;5098;10304
0;48;136142,8;4724,92;371508,41;21,7;24,7;5023;-25284
0;49;124605,22;4538,32;357493,19;21;24,6;5087;10150
0;50;99999,99;4267,24;339841,72;21,3;24,6;5081;10241
0;51;103666,65;4361,52;348525,5;21,3;24,6;4944;10046
0;52;97684,2;4380,7;352973;21,5;24,6;4845;-25474
0;53;107471,25;4452,07;352432,47;22;24,6;5057;10461
0;54;130136,93;4724,92;362087,94;21,4;24,6;4954;-25382
0;55;111785,7;4400;351482,5;20,6;24,6;5034;10208
0;56;93333,33;4193,75;332812,47;21,3;24,6;5060;-25361
0;57;103666,65;4342,44;348525,5;21,4;24,6;5113;10230
0;58;101195,64;4361,52;337007,91;21,7;24,6;5009;10209
0;59;117874,97;4458,58;351482,5;21,7;24,6;4983;10331
1;0;91287,13;4230,29;335602,13;21,5;24,5;5043;10175
1;1;101195,64;4498,21;362087,94;21,7;24,5;4789;10158
1;2;97684,2;4342,44;330051,78;22;24,5;5146;10018
1;3;93333,33;4285,88;344148,94;21,6;24,5;5048;10353
1;4;99999,99;4400;341269,88;21,7;24,5;5010;-25348
1;5;114390,21;4641,46;369832,41;21,5;24,5;5034;10419
