Dia;Mes;Año;Hora ;Minuto;Humedad;Temperatura;P25;P10;P1;P25;P10
28;2;2018;0;0;79;18.8;1;2.4;3;5;5
28;2;2018;0;1;78.5;18.8;0.9;1.5;3;5;5
28;2;2018;0;2;77.9;18.8;0.8;2;1;1;1
28;2;2018;0;3;77.8;18.8;0.8;1.3;2;2;2
28;2;2018;0;4;77.1;18.8;0.6;0.6;1;2;2
28;2;2018;0;5;76.5;18.9;0.8;2.4;1;2;2
28;2;2018;0;6;76.8;18.9;0.7;0.8;2;4;4
28;2;2018;0;7;77.1;18.9;0.8;0.8;2;3;3
28;2;2018;0;8;77.6;18.9;1;1.6;2;3;3
28;2;2018;0;9;75.8;18.9;1;1.1;2;3;3
28;2;2018;0;10;77.4;18.9;0.7;1.9;3;4;5
28;2;2018;0;11;78.1;18.8;0.7;0.7;3;3;4
28;2;2018;0;12;77.1;18.9;0.7;0.9;2;2;2
28;2;2018;0;13;77.9;18.9;0.7;0.8;2;2;2
28;2;2018;0;14;77.7;18.8;0.8;1.7;1;3;3
28;2;2018;0;15;77.8;18.8;1.1;2.4;1;3;3
28;2;2018;0;16;78.1;18.8;1;1.5;2;3;3
28;2;2018;0;17;78;18.8;1.1;1.9;2;3;3
28;2;2018;0;18;79.2;18.8;1;1.2;1;2;2
28;2;2018;0;19;77.8;18.9;0.9;1;1;2;2
28;2;2018;0;20;78.9;18.9;0.8;0.9;0;2;2
28;2;2018;0;21;76.7;18.8;0.9;1.9;0;2;2
28;2;2018;0;22;76.4;18.9;0.8;0.8;2;4;4
28;2;2018;0;23;75.8;18.8;0.7;1.6;2;4;4
28;2;2018;0;24;76.1;18.9;1;4.3;2;3;3
28;2;2018;0;25;76.7;18.9;0.8;0.8;1;2;2
28;2;2018;0;26;76.8;18.9;0.9;1.3;1;2;2
28;2;2018;0;27;77.1;18.9;0.7;0.7;1;2;2
28;2;2018;0;28;77.3;18.9;0.8;0.8;2;3;3
28;2;2018;0;29;75.3;18.9;0.8;2;2;3;3
28;2;2018;0;30;75;18.9;0.7;2;2;2;2
28;2;2018;0;31;75.2;19;0.7;0.8;2;2;2
28;2;2018;0;32;76.2;18.9;0.9;3.7;2;4;4
28;2;2018;0;33;76.6;18.9;0.8;1.9;2;4;4
28;2;2018;0;34;77.1;19;0.8;1.8;2;2;2
28;2;2018;0;35;76.9;18.9;0.9;2;2;2;2
28;2;2018;0;36;77.7;18.9;0.8;0.8;1;2;2
28;2;2018;0;37;77.2;18.9;1.1;2.3;1;2;2
28;2;2018;0;38;76.8;18.9;0.9;1.6;2;3;3
28;2;2018;0;39;76.2;18.9;1;1.1;2;3;3
28;2;2018;0;40;75.8;18.9;0.9;2.1;2;3;4
28;2;2018;0;41;76.2;18.9;0.6;0.6;2;3;4
28;2;2018;0;42;76.2;18.8;0.6;0.6;0;1;1
28;2;2018;0;43;77.3;18.9;0.7;0.7;0;1;1
28;2;2018;0;44;78.1;18.9;0.7;1;2;4;4
28;2;2018;0;46;75.3;18.8;0.9;1.5;2;3;3
28;2;2018;0;47;76.4;18.8;0.8;1.2;2;3;3
28;2;2018;0;48;75.7;18.8;0.7;0.7;2;3;3
28;2;2018;0;49;76.7;18.9;0.7;1;2;4;4
28;2;2018;0;50;77;18.8;0.6;2.1;1;4;4
28;2;2018;0;51;76.9;18.8;0.9;1.1;1;2;2
28;2;2018;0;52;76.5;18.9;0.9;1.1;1;2;2
28;2;2018;0;53;76.4;18.8;0.8;0.8;2;3;3
28;2;2018;0;54;76.7;18.8;0.6;1.7;1;3;3
28;2;2018;0;55;77.4;18.8;0.6;0.6;2;4;4
28;2;2018;0;56;76.9;18.8;1;2.2;2;4;4
28;2;2018;0;57;77.6;18.8;0.8;1.7;2;4;4
28;2;2018;0;58;77.9;18.8;1;1.9;2;4;4
28;2;2018;0;59;78.1;18.8;0.8;0.9;2;3;3
28;2;2018;1;0;78.4;18.8;1.2;4.7;2;3;3
28;2;2018;1;1;78.3;18.7;1;1.5;2;3;3
28;2;2018;1;2;78.7;18.7;0.9;1.2;2;3;3
28;2;2018;1;3;78.9;18.7;0.9;1.9;2;3;3
28;2;2018;1;4;78.3;18.7;1.5;2.4;2;3;3
28;2;2018;1;5;78.7;18.7;1;2.7;3;5;5
28;2;2018;1;6;79;18.7;1.1;1.6;3;5;5
28;2;2018;1;7;79.1;18.8;1.1;1.2;2;3;3
28;2;2018;1;8;79;18.8;1.1;3.3;2;3;3
28;2;2018;1;9;78.2;18.8;1;2.3;2;4;4
28;2;2018;1;10;78.8;18.8;0.9;1.8;2;4;4
28;2;2018;1;11;79.3;18.9;0.8;1.8;3;5;5
28;2;2018;1;12;79.6;18.9;0.7;1.4;3;5;5
28;2;2018;1;13;79.4;18.9;1;2.4;4;5;5
28;2;2018;1;14;79.2;18.9;0.8;1.4;4;5;5
28;2;2018;1;15;80;18.9;0.9;1.4;1;3;3
28;2;2018;1;16;79.8;18.9;0.8;1.6;1;3;3
28;2;2018;1;17;79.3;18.9;0.9;2.6;2;3;3
28;2;2018;1;18;79.1;18.9;0.9;1.5;2;3;3
28;2;2018;1;19;78.9;18.9;1;1.6;2;3;4
28;2;2018;1;20;78.5;18.9;0.8;1.1;2;3;4
28;2;2018;1;21;76.7;19;0.9;2.5;2;4;4
28;2;2018;1;22;75.2;19;0.8;1;2;4;4
28;2;2018;1;23;75.8;19;0.9;1.9;3;4;4
28;2;2018;1;24;75.8;19;1.1;1.3;3;4;4
28;2;2018;1;25;75.3;19.1;0.9;2.9;2;3;3
28;2;2018;1;26;76;19.1;1.2;4.2;3;4;4
28;2;2018;1;27;76.4;19.1;1;3;2;3;3
28;2;2018;1;28;76.8;19.1;1.1;2.1;3;3;3
28;2;2018;1;29;76.9;19.1;1.4;3.1;2;3;3
28;2;2018;1;30;76.5;19.1;1.4;2.2;3;4;4
28;2;2018;1;31;77.5;19;1.4;3.7;4;6;6
28;2;2018;1;32;77.8;19;1.1;1.4;4;5;5
28;2;2018;1;33;76.8;19;1.6;2.5;4;5;5
28;2;2018;1;34;77.4;19;1.4;4.2;4;5;5
28;2;2018;1;35;76.4;19;1.2;1.9;4;6;6
28;2;2018;1;36;76.8;19;1.4;4.6;3;5;5
28;2;2018;1;37;76.9;19;1.3;2.9;4;6;6
28;2;2018;1;38;77.4;19;1.3;2.6;4;6;6
28;2;2018;1;39;77;19;1.9;3.8;4;6;6
28;2;2018;1;40;77.9;19;1.3;3.2;3;5;5
28;2;2018;1;41;77.1;19;1.5;2.9;3;4;4
28;2;2018;1;42;77.8;19;1.2;3.1;3;4;4
28;2;2018;1;43;78.2;19;1.1;2;4;5;5
28;2;2018;1;44;78.6;19;1.3;3;4;5;5
28;2;2018;1;45;78.8;19;1.2;1.7;5;7;9
28;2;2018;1;46;79.2;19;1.1;2.1;5;7;9
28;2;2018;1;48;79.5;18.9;1.4;2.9;4;4;4
28;2;2018;1;49;78.4;18.9;1.3;1.9;4;5;5
28;2;2018;1;50;78.4;18.9;1.4;3;4;6;7
28;2;2018;1;51;78.8;18.9;1.6;3.2;4;6;7
28;2;2018;1;52;78.8;18.9;1.4;2.8;2;3;3
28;2;2018;1;53;78.7;18.9;1.5;3.5;3;4;4
28;2;2018;1;54;78.8;18.9;1.4;3.6;3;5;5
28;2;2018;1;55;77.7;18.9;1.7;3.2;3;5;5
28;2;2018;1;56;78.1;18.9;1.5;4.3;4;6;7
28;2;2018;1;57;78.7;18.9;1.5;3.8;4;6;7
28;2;2018;1;58;78.9;18.9;1.8;5.6;2;4;4
28;2;2018;1;59;78.1;18.9;1.5;2;3;5;5
28;2;2018;2;0;79;18.9;1.3;2.9;4;7;7
28;2;2018;2;1;79.7;18.9;1.6;4.3;4;7;7
28;2;2018;2;2;79.6;18.9;1.6;2.5;3;5;5
28;2;2018;2;3;80.1;18.9;1.3;1.9;3;5;5
28;2;2018;2;4;79.6;18.9;1.8;4.4;3;5;5
28;2;2018;2;5;79.2;18.9;1.5;4.2;3;5;5
28;2;2018;2;6;78.7;18.9;1.3;3.4;4;7;7
28;2;2018;2;7;79.1;19;1.5;3;4;7;7
28;2;2018;2;8;79.3;18.9;1.3;5.3;3;5;5
28;2;2018;2;9;78.3;19;1.3;3.3;3;5;5
28;2;2018;2;10;76;19;1.5;1.6;4;6;8
28;2;2018;2;11;75.3;19;1.8;5.2;3;5;7
28;2;2018;2;12;72.5;19;2.3;5.4;6;8;10
28;2;2018;2;13;72.6;19.1;1.8;3.7;6;8;10
28;2;2018;2;14;71.3;19.1;1.5;4.3;5;7;8
28;2;2018;2;15;71.1;19.1;1.7;3.3;4;7;7
28;2;2018;2;16;69.3;19.2;1.3;2.9;3;4;4
28;2;2018;2;17;69.8;19.2;1.2;3.1;3;4;4
28;2;2018;2;18;71.3;19.2;1;1.7;4;5;5
28;2;2018;2;19;71.9;19.2;1.1;1.5;4;5;5
28;2;2018;2;20;72.6;19.3;1.2;2;3;4;4
28;2;2018;2;21;72.6;19.2;1.3;1.9;3;4;4
28;2;2018;2;22;73.5;19.2;1.3;2;2;3;3
28;2;2018;2;23;74.2;19.2;1;1.2;1;2;2
28;2;2018;2;24;72.6;19.2;1;3.6;4;4;4
28;2;2018;2;25;74.1;19.2;1.3;2.8;4;4;4
28;2;2018;2;26;74.9;19.1;1.1;1.4;3;5;6
28;2;2018;2;27;75.1;19.1;1;2.1;3;5;6
28;2;2018;2;28;75.1;19.1;1.1;1.6;3;5;6
28;2;2018;2;29;75.2;19;1.1;1.5;3;5;6
28;2;2018;2;30;74.4;19;1.3;3.4;2;3;5
28;2;2018;2;31;75.2;19;1.2;4.4;2;4;6
28;2;2018;2;32;75.3;18.9;1.2;2.4;2;3;4
28;2;2018;2;33;75.4;18.9;1.5;2.4;2;3;4
28;2;2018;2;34;75;18.9;1.2;2.4;3;4;4
28;2;2018;2;35;76.3;18.8;1.5;4.6;3;4;4
28;2;2018;2;36;76.2;18.8;1.3;2.7;2;3;3
28;2;2018;2;37;75.7;18.8;1.4;2.1;2;3;3
28;2;2018;2;38;74.9;18.8;1.3;2.6;3;4;7
28;2;2018;2;39;76.2;18.8;1.3;1.8;3;4;7
28;2;2018;2;40;76.5;18.7;1.4;2.5;3;4;5
28;2;2018;2;41;77.6;18.7;1.4;4.3;3;4;5
28;2;2018;2;42;77.2;18.7;1.6;3;3;4;4
28;2;2018;2;43;77.4;18.7;2;5.1;3;4;4
28;2;2018;2;44;77.2;18.7;1.7;3.1;3;5;5
28;2;2018;2;45;77.6;18.7;2;5.2;3;5;5
28;2;2018;2;46;78.5;18.7;1.9;3.4;4;6;9
28;2;2018;2;47;77.8;18.6;1.8;3.8;4;6;9
28;2;2018;2;48;78.1;18.6;1.7;3.8;3;5;5
28;2;2018;2;49;78.5;18.6;1.9;4;3;5;5
28;2;2018;2;51;78.3;18.7;2.2;4.8;3;5;6
28;2;2018;2;52;79;18.7;1.9;2.9;3;5;6
28;2;2018;2;53;77.3;18.6;1.9;5.1;4;5;9
28;2;2018;2;54;77.2;18.6;2;4.1;4;5;9
28;2;2018;2;55;77.8;18.7;2.2;3.7;4;6;6
28;2;2018;2;56;76.9;18.6;2.3;4.4;4;6;6
28;2;2018;2;57;76.1;18.6;2;3.5;4;8;9
28;2;2018;2;58;76.9;18.6;2.2;3.1;3;7;8
28;2;2018;2;59;76.2;18.6;2.2;3.1;4;8;8
28;2;2018;3;0;76.7;18.6;2;5.2;4;8;8
28;2;2018;3;1;76.5;18.6;2.6;6.7;3;5;6
28;2;2018;3;2;76.3;18.7;2.3;5.7;3;5;6
28;2;2018;3;3;76;18.7;2;3.2;4;7;7
28;2;2018;3;4;76.6;18.7;2.2;5.2;4;7;7
28;2;2018;3;5;76.4;18.7;2.2;3.6;3;4;4
28;2;2018;3;6;73.6;18.7;2.7;4.6;3;4;4
28;2;2018;3;7;72.1;18.8;2.1;3.1;4;7;8
