Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
5/3/18-0:0:31,841,271,398,38.20,27.50,1.30,4.20
5/3/18-0:1:32,843,285,414,39.00,27.50,1.40,5.20
5/3/18-0:2:33,843,298,412,39.00,27.60,1.40,3.30
5/3/18-0:3:34,843,281,402,38.80,27.50,1.40,3.40
5/3/18-0:4:35,843,283,414,40.20,27.50,1.40,4.10
5/3/18-0:5:36,843,282,404,39.10,27.60,1.60,4.20
5/3/18-0:6:37,843,269,400,38.20,27.60,1.20,2.20
5/3/18-0:7:38,844,325,450,38.30,27.60,1.20,5.00
5/3/18-0:8:39,843,306,411,38.20,27.60,1.10,3.20
5/3/18-0:9:40,843,283,431,37.20,27.60,1.30,6.50
5/3/18-0:10:41,843,271,397,37.30,27.60,1.80,7.80
5/3/18-0:11:42,843,236,400,36.90,27.50,1.30,4.40
5/3/18-0:12:43,842,216,403,37.80,27.50,1.10,2.40
5/3/18-0:13:44,843,217,399,37.00,27.50,1.10,6.00
5/3/18-0:14:45,843,198,372,36.80,27.40,1.90,5.30
5/3/18-0:15:46,842,161,372,36.20,27.40,1.20,2.30
5/3/18-0:16:47,843,148,388,36.90,27.20,1.50,8.20
5/3/18-0:17:48,843,127,361,37.50,27.10,2.40,20.60
5/3/18-0:18:49,842,148,378,38.20,27.00,1.80,19.70
5/3/18-0:19:50,843,141,371,39.00,26.90,2.40,16.70
5/3/18-0:20:51,843,153,373,39.20,26.90,2.60,26.70
5/3/18-0:21:52,842,163,388,39.50,26.70,2.50,19.30
5/3/18-0:22:53,842,183,394,39.70,26.70,2.50,28.20
5/3/18-0:23:54,842,162,376,40.00,26.70,2.00,16.90
5/3/18-0:24:55,842,173,379,40.90,26.60,2.20,14.00
5/3/18-0:25:56,843,160,372,41.80,26.50,2.40,24.00
5/3/18-0:26:57,843,130,364,41.80,26.50,2.30,18.30
5/3/18-0:27:58,842,130,362,41.60,26.30,3.10,23.10
5/3/18-0:28:59,843,139,372,42.00,26.20,1.70,12.70
5/3/18-0:30:0,843,137,382,43.10,26.10,2.00,10.70
5/3/18-0:31:1,843,125,355,43.40,26.00,1.50,11.90
5/3/18-0:32:2,843,118,355,43.30,25.90,1.70,15.60
5/3/18-0:33:3,843,117,360,44.40,25.80,2.10,9.30
5/3/18-0:34:4,843,128,362,44.60,25.70,1.50,6.60
5/3/18-0:35:5,843,116,351,44.50,25.60,2.20,16.00
5/3/18-0:36:6,842,139,375,45.90,25.50,1.90,8.30
5/3/18-0:37:7,843,128,359,48.00,25.50,2.10,11.70
5/3/18-0:38:7,842,146,373,48.20,25.40,2.00,15.10
5/3/18-0:39:8,843,133,364,48.40,25.30,1.90,10.50
5/3/18-0:40:9,843,133,379,49.30,25.20,1.90,14.90
5/3/18-0:41:10,843,122,354,49.30,25.20,1.80,13.80
5/3/18-0:42:11,844,122,358,49.20,25.10,2.20,11.70
5/3/18-0:43:12,844,113,354,50.90,24.90,2.20,8.60
5/3/18-0:44:13,842,131,375,51.30,24.70,1.80,9.60
5/3/18-0:45:14,843,137,385,51.80,24.70,2.10,9.30
5/3/18-0:46:15,842,143,371,52.20,24.60,1.70,6.50
5/3/18-0:47:16,843,137,367,53.40,24.50,1.50,8.20
5/3/18-0:48:17,843,150,383,52.80,24.50,1.70,5.90
5/3/18-0:49:18,845,160,382,53.40,24.50,1.60,7.70
5/3/18-0:50:19,843,151,376,54.20,24.40,2.30,12.90
5/3/18-0:51:20,845,144,367,53.30,24.50,2.00,9.10
5/3/18-0:52:21,844,134,365,53.30,24.40,1.80,7.90
5/3/18-0:53:22,843,144,376,53.40,24.40,1.80,7.00
5/3/18-0:54:23,843,135,372,54.30,24.20,2.10,7.50
5/3/18-0:55:24,844,129,365,54.40,24.20,1.50,5.40
5/3/18-0:56:25,844,133,374,53.80,24.10,1.60,3.40
5/3/18-0:57:26,844,127,353,53.80,24.00,1.80,9.90
5/3/18-0:58:27,842,124,358,53.60,24.00,2.10,8.80
5/3/18-0:59:28,844,129,369,53.60,23.80,1.60,6.10
5/3/18-1:0:29,842,145,367,54.40,23.80,1.40,5.80
5/3/18-1:1:30,843,145,363,54.20,23.80,2.00,6.50
5/3/18-1:2:31,843,146,374,54.10,23.80,1.90,5.90
5/3/18-1:3:32,842,160,388,53.50,23.80,1.50,5.50
5/3/18-1:4:33,843,140,349,55.10,23.80,1.60,4.60
5/3/18-1:5:34,842,138,366,54.80,23.80,1.60,6.50
5/3/18-1:6:35,843,153,375,54.50,23.80,1.40,4.40
5/3/18-1:7:36,843,144,370,55.10,23.90,1.40,2.60
5/3/18-1:8:37,844,166,375,55.10,23.90,2.00,8.60
5/3/18-1:9:38,843,156,376,54.60,23.90,1.80,4.10
5/3/18-1:10:39,844,157,369,54.20,24.00,1.60,4.80
5/3/18-1:11:40,842,163,381,54.10,23.90,1.70,6.50
5/3/18-1:12:41,844,159,364,54.20,24.00,1.90,4.40
5/3/18-1:13:42,843,136,356,54.50,24.00,1.90,5.80
5/3/18-1:14:43,843,138,379,53.00,23.90,1.90,10.60
5/3/18-1:15:44,843,160,376,53.60,23.90,1.80,4.90
5/3/18-1:16:45,842,157,364,53.80,23.90,1.90,6.10
5/3/18-1:17:46,844,144,365,54.20,23.90,1.60,5.40
5/3/18-1:18:47,843,153,375,53.40,23.90,1.70,5.90
5/3/18-1:19:48,842,151,369,54.00,23.90,1.40,4.60
5/3/18-1:20:49,842,149,360,54.70,23.90,1.60,5.30
5/3/18-1:21:50,844,144,360,53.40,23.90,1.60,6.10
5/3/18-1:22:51,843,133,358,53.90,23.90,1.30,3.50
5/3/18-1:23:52,844,127,354,54.50,23.90,1.40,3.20
5/3/18-1:24:53,842,135,361,53.70,23.90,1.50,3.10
5/3/18-1:25:54,843,145,374,54.50,23.90,1.40,4.30
5/3/18-1:26:55,844,126,365,53.60,23.80,1.10,2.60
5/3/18-1:27:56,842,144,370,53.40,23.80,1.70,3.90
5/3/18-1:28:56,843,128,352,53.90,23.80,1.50,5.60
5/3/18-1:29:57,843,137,362,53.80,23.70,1.50,2.80
5/3/18-1:30:58,844,131,358,53.70,23.70,1.50,3.70
5/3/18-1:31:59,843,141,372,53.80,23.70,1.50,3.20
5/3/18-1:33:0,844,150,370,54.70,23.70,1.60,5.50
5/3/18-1:34:1,844,150,363,54.30,23.70,1.40,2.60
5/3/18-1:35:2,843,145,364,53.90,23.70,1.30,3.30
5/3/18-1:36:3,844,145,377,54.50,23.70,1.60,6.60
5/3/18-1:37:4,843,163,378,54.50,23.70,1.60,4.90
5/3/18-1:38:5,844,161,365,54.50,23.70,1.10,3.00
5/3/18-1:39:6,843,161,379,53.90,23.70,1.60,3.80
5/3/18-1:40:7,843,143,366,54.20,23.70,1.70,4.80
5/3/18-1:41:8,844,135,357,53.50,23.70,1.40,4.10
5/3/18-1:42:9,842,155,378,53.10,23.70,1.30,3.80
5/3/18-1:43:10,844,151,368,53.80,23.70,1.20,4.10
5/3/18-1:44:11,843,131,354,54.40,23.70,1.40,4.20
5/3/18-1:45:12,845,137,366,52.90,23.70,1.20,2.10
5/3/18-1:46:13,844,140,362,53.50,23.70,1.30,4.20
5/3/18-1:47:14,842,145,365,53.50,23.80,1.30,5.20
5/3/18-1:48:15,844,131,362,53.40,23.70,1.30,2.30
5/3/18-1:49:16,844,128,362,52.90,23.80,1.50,4.40
5/3/18-1:50:17,843,138,368,53.10,23.70,1.40,2.90
5/3/18-1:51:18,844,122,354,52.80,23.80,1.30,2.30
5/3/18-1:52:19,843,128,354,53.60,23.80,1.90,8.10
5/3/18-1:53:20,844,123,358,54.00,23.80,1.00,2.40
5/3/18-1:54:21,844,147,397,52.60,23.70,1.00,2.10
5/3/18-1:55:22,843,165,372,53.00,23.80,1.20,2.00
5/3/18-1:56:23,844,147,372,52.90,23.80,1.20,1.80
5/3/18-1:57:24,843,171,379,52.80,23.80,1.00,2.00
5/3/18-1:58:25,844,168,380,51.60,23.80,0.90,1.70
5/3/18-1:59:26,844,148,361,51.40,23.90,1.70,6.00
5/3/18-2:0:27,843,137,364,51.20,23.90,1.20,1.50
5/3/18-2:1:28,843,137,357,51.20,23.90,1.00,1.90
5/3/18-2:2:29,844,148,383,51.30,23.90,1.30,2.20
5/3/18-2:3:30,842,154,395,52.10,23.90,1.20,1.80
5/3/18-2:4:31,843,152,372,51.00,23.90,1.40,3.40
